"Codigo","Marca","Peso"
101001,"ALEKO",1380
206001,"AMERICAN MOTOR",0
208003,"AMERICAN MOTOR",1100
208004,"AMERICAN MOTOR",1100
317003,"AUTECO",75
317004,"AUTECO",78
317006,"AUTECO",95
317007,"AUTECO",77
317008,"AUTECO",93
317009,"AUTECO",105
317010,"AUTECO",106
317015,"AUTECO",113
317016,"AUTECO",108
317017,"AUTECO",103
317019,"AUTECO",76
317022,"AUTECO",80
317025,"AUTECO",143
317028,"AUTECO",79
317029,"AUTECO",98
317030,"AUTECO",118
317035,"AUTECO",80
317037,"AUTECO",125
317038,"AUTECO",143
317039,"AUTECO",113
317041,"AUTECO",133
317042,"AUTECO",133
317043,"AUTECO",145
317044,"AUTECO",112
317045,"AUTECO",150
317046,"AUTECO",109
317047,"AUTECO",113
317048,"AUTECO",115
317049,"AUTECO",113
317050,"AUTECO",152
317051,"AUTECO",122
317052,"AUTECO",152
317053,"AUTECO",119
317054,"AUTECO",123
317055,"AUTECO",0
317056,"AUTECO",0
317057,"AUTECO",0
317058,"AUTECO",155
317059,"AUTECO",113
317060,"AUTECO",152
317061,"AUTECO",130
317062,"AUTECO",147
317063,"AUTECO",132
317064,"AUTECO",108
317065,"AUTECO",140
317066,"AUTECO",153
317067,"AUTECO",165
317068,"AUTECO",140
317069,"AUTECO",122
317070,"AUTECO",143
319001,"AUTECO",283
319002,"AUTECO",200
319003,"AUTECO",305
319004,"AUTECO",353
319005,"AUTECO",350
319006,"AUTECO",350
319007,"AUTECO",305
319008,"AUTECO",305
319009,"AUTECO",305
319010,"AUTECO",305
319011,"AUTECO",305
319012,"AUTECO",305
319013,"AUTECO",305
319014,"AUTECO",398
319015,"AUTECO",329
319016,"AUTECO",329
319017,"AUTECO",329
319018,"AUTECO",398
319019,"AUTECO",300
319020,"AUTECO",329
408008,"AROCARPATI",1950
408014,"AROCARPATI",2000
408015,"AROCARPATI",2200
408016,"AROCARPATI",1350
408017,"AROCARPATI",0
421001,"AROCARPATI",1380
503001,"ASIA",2350
503002,"ASIA",14000
503003,"ASIA",13500
503004,"ASIA",1200
506002,"ASIA",1100
506003,"ASIA",2100
507001,"ASIA",1100
508001,"ASIA",1400
508002,"ASIA",1400
508003,"ASIA",1400
520001,"ASIA",2300
601005,"AUDI",1400
601006,"AUDI",1510
601007,"AUDI",1542
601008,"AUDI",1400
601009,"AUDI",1560
601010,"AUDI",1235
601011,"AUDI",1260
601012,"AUDI",1760
601013,"AUDI",1745
601014,"AUDI",1495
601015,"AUDI",1526
601016,"AUDI",1580
601017,"AUDI",1542
601018,"AUDI",1190
601019,"AUDI",1395
601020,"AUDI",1140
601021,"AUDI",1160
601022,"AUDI",1360
601023,"AUDI",1560
601024,"AUDI",1375
601025,"AUDI",1423
601026,"AUDI",1405
601027,"AUDI",1140
601028,"AUDI",1090
601029,"AUDI",1280
601030,"AUDI",1190
601031,"AUDI",1150
601032,"AUDI",1120
601033,"AUDI",1345
601035,"AUDI",1425
601036,"AUDI",1300
601037,"AUDI",1475
601041,"AUDI",1215
601046,"AUDI",1140
601047,"AUDI",1190
601048,"AUDI",1480
601049,"AUDI",1520
601050,"AUDI",1460
601051,"AUDI",2000
601052,"AUDI",1660
601053,"AUDI",1590
601054,"AUDI",1620
601055,"AUDI",1335
601056,"AUDI",1555
601057,"AUDI",1510
601058,"AUDI",1200
601059,"AUDI",1555
601060,"AUDI",1690
601061,"AUDI",1345
601062,"AUDI",1295
601063,"AUDI",1245
601064,"AUDI",1590
601065,"AUDI",1430
601066,"AUDI",1355
601068,"AUDI",1315
601069,"AUDI",1390
601070,"AUDI",1430
601072,"AUDI",1490
601073,"AUDI",1650
601074,"AUDI",1555
601075,"AUDI",1700
601076,"AUDI",1770
601077,"AUDI",1410
601078,"AUDI",1573
601080,"AUDI",1315
601081,"AUDI",1525
601084,"AUDI",1565
601087,"AUDI",1430
601088,"AUDI",1305
601091,"AUDI",1370
601092,"AUDI",1450
601093,"AUDI",1570
601094,"AUDI",1535
601095,"AUDI",1260
601096,"AUDI",1280
601097,"AUDI",1535
601098,"AUDI",1490
601099,"AUDI",1205
601100,"AUDI",1410
601101,"AUDI",1495
601102,"AUDI",1570
601103,"AUDI",1410
601104,"AUDI",1840
601105,"AUDI",1630
601106,"AUDI",1295
601107,"AUDI",1275
601108,"AUDI",1410
601109,"AUDI",1350
601110,"AUDI",1305
601111,"AUDI",1335
601112,"AUDI",1280
601113,"AUDI",1295
601114,"AUDI",1465
601115,"AUDI",1134
601116,"AUDI",1910
601117,"AUDI",1340
601118,"AUDI",1320
601119,"AUDI",1415
601120,"AUDI",1410
601121,"AUDI",1615
601122,"AUDI",1635
601123,"AUDI",1410
601124,"AUDI",1580
601125,"AUDI",1465
601126,"AUDI",1410
601127,"AUDI",1550
601128,"AUDI",1475
601129,"AUDI",1490
601130,"AUDI",1725
601131,"AUDI",1730
601132,"AUDI",1200
601133,"AUDI",1490
601134,"AUDI",1595
601135,"AUDI",1860
601136,"AUDI",1860
601137,"AUDI",1200
601138,"AUDI",1685
601139,"AUDI",1815
601140,"AUDI",1685
601141,"AUDI",1595
601142,"AUDI",1200
601143,"AUDI",0
601144,"AUDI",1670
601145,"AUDI",1735
601146,"AUDI",1580
601147,"AUDI",1835
601148,"AUDI",1495
601149,"AUDI",0
601150,"AUDI",1295
601151,"AUDI",1695
601152,"AUDI",1410
601153,"AUDI",1455
601154,"AUDI",1545
601155,"AUDI",1225
601156,"AUDI",0
601157,"AUDI",1645
601158,"AUDI",1600
601159,"AUDI",1735
601160,"AUDI",1660
601161,"AUDI",1810
601162,"AUDI",1355
601163,"AUDI",1970
601164,"AUDI",1180
601165,"AUDI",1325
601166,"AUDI",1390
601167,"AUDI",1315
601168,"AUDI",1455
601169,"AUDI",1225
601170,"AUDI",1370
601171,"AUDI",1730
601172,"AUDI",1400
601173,"AUDI",1995
601174,"AUDI",1245
601175,"AUDI",1475
601176,"AUDI",0
601177,"AUDI",1520
601178,"AUDI",1400
601179,"AUDI",1500
601180,"AUDI",1600
601181,"AUDI",1455
601182,"AUDI",1410
601183,"AUDI",1610
601184,"AUDI",1325
601185,"AUDI",1425
601186,"AUDI",1615
601187,"AUDI",1750
601188,"AUDI",1480
601189,"AUDI",1215
601190,"AUDI",1245
601191,"AUDI",1605
601192,"AUDI",1545
601193,"AUDI",1585
601194,"AUDI",1275
601195,"AUDI",1275
601196,"AUDI",1355
601197,"AUDI",1705
601198,"AUDI",1885
601199,"AUDI",1495
601200,"AUDI",1395
606001,"AUDI",1480
606002,"AUDI",1550
606003,"AUDI",1405
606004,"AUDI",1825
606005,"AUDI",1795
606006,"AUDI",1580
606008,"AUDI",1440
606009,"AUDI",1300
606010,"AUDI",2240
606011,"AUDI",2200
606012,"AUDI",2205
606013,"AUDI",2220
606014,"AUDI",0
606015,"AUDI",2450
606016,"AUDI",1640
606017,"AUDI",1640
606018,"AUDI",1640
606019,"AUDI",1640
606020,"AUDI",2200
606021,"AUDI",1480
606022,"AUDI",1660
606023,"AUDI",1480
606024,"AUDI",1480
606025,"AUDI",1640
606026,"AUDI",1640
606027,"AUDI",2045
606028,"AUDI",2105
606029,"AUDI",2105
606030,"AUDI",2055
606031,"AUDI",2120
606032,"AUDI",2120
606033,"AUDI",1700
606034,"AUDI",1315
608001,"AUDI",1740
608002,"AUDI",1865
608003,"AUDI",1795
608004,"AUDI",1865
608005,"AUDI",1730
608006,"AUDI",1740
608007,"AUDI",1770
608008,"AUDI",1915
608009,"AUDI",1915
608010,"AUDI",1845
608011,"AUDI",1935
608012,"AUDI",1845
608013,"AUDI",1845
608014,"AUDI",1795
722001,"AUTOCAR",0
801001,"BMW",1721
801002,"BMW",1255
801004,"BMW",1925
801009,"BMW",940
801019,"BMW",1030
801020,"BMW",1115
801024,"BMW",1230
801025,"BMW",1520
801028,"BMW",1550
801030,"BMW",1570
801031,"BMW",1450
801041,"BMW",1885
801044,"BMW",1140
801045,"BMW",1270
801046,"BMW",1390
801047,"BMW",1385
801048,"BMW",990
801049,"BMW",1380
801050,"BMW",1295
801051,"BMW",1593
801052,"BMW",1490
801053,"BMW",1630
801054,"BMW",1080
801055,"BMW",1190
801056,"BMW",1360
801057,"BMW",1435
801060,"BMW",1575
801061,"BMW",2110
801062,"BMW",1370
801063,"BMW",1450
801064,"BMW",1280
801066,"BMW",1145
801067,"BMW",1620
801068,"BMW",1865
801069,"BMW",1150
801070,"BMW",1160
801071,"BMW",1452
801073,"BMW",1330
801074,"BMW",1452
801075,"BMW",1395
801076,"BMW",1145
801077,"BMW",1610
801078,"BMW",1735
801079,"BMW",1705
801080,"BMW",1440
801081,"BMW",1570
801083,"BMW",1450
801084,"BMW",1330
801088,"BMW",1875
801089,"BMW",1545
801090,"BMW",1795
801091,"BMW",1360
801093,"BMW",1236
801095,"BMW",1735
801096,"BMW",1540
801097,"BMW",1425
801098,"BMW",1520
801099,"BMW",1825
801103,"BMW",1160
801106,"BMW",1570
801107,"BMW",1460
801108,"BMW",1375
801109,"BMW",1470
801110,"BMW",1360
801111,"BMW",1500
801112,"BMW",1302
801114,"BMW",1485
801118,"BMW",1180
801121,"BMW",1415
801122,"BMW",1710
801123,"BMW",1395
801125,"BMW",1540
801126,"BMW",1608
801127,"BMW",1190
801129,"BMW",1265
801130,"BMW",1335
801133,"BMW",1465
801134,"BMW",1570
801135,"BMW",1525
801137,"BMW",1730
801138,"BMW",1390
801140,"BMW",1505
801143,"BMW",1505
801144,"BMW",1845
801145,"BMW",1855
801146,"BMW",1320
801148,"BMW",1350
801149,"BMW",1575
801150,"BMW",1665
801151,"BMW",1450
801152,"BMW",1535
801153,"BMW",1535
801154,"BMW",1570
801156,"BMW",1735
801157,"BMW",1695
801158,"BMW",1985
801160,"BMW",1615
801161,"BMW",1505
801162,"BMW",1555
801164,"BMW",1555
801165,"BMW",1140
801166,"BMW",1715
801167,"BMW",1040
801168,"BMW",1795
801169,"BMW",1465
801170,"BMW",1675
801171,"BMW",1570
801172,"BMW",3300
801173,"BMW",1515
801174,"BMW",1430
801175,"BMW",1295
801176,"BMW",1575
801177,"BMW",1965
801178,"BMW",1255
801179,"BMW",1625
801180,"BMW",1430
801181,"BMW",1550
801182,"BMW",1570
801183,"BMW",1485
801184,"BMW",1660
801185,"BMW",1925
801186,"BMW",1540
801187,"BMW",1395
801188,"BMW",1600
801189,"BMW",1560
801190,"BMW",1852
801191,"BMW",1477
801192,"BMW",1160
801193,"BMW",1090
801194,"BMW",1300
801195,"BMW",1619
801196,"BMW",1525
801197,"BMW",1295
801198,"BMW",1385
801199,"BMW",1500
801200,"BMW",1293
801201,"BMW",1435
801202,"BMW",1415
801203,"BMW",1970
801204,"BMW",1680
801205,"BMW",1670
801206,"BMW",1700
801207,"BMW",1313
801208,"BMW",1495
801209,"BMW",1435
801210,"BMW",1360
801211,"BMW",1395
801212,"BMW",1585
801213,"BMW",1405
801214,"BMW",1350
801215,"BMW",1505
801216,"BMW",1460
801217,"BMW",1565
801218,"BMW",1615
801219,"BMW",1085
801220,"BMW",1160
801221,"BMW",1580
801222,"BMW",1445
801223,"BMW",1385
801224,"BMW",1505
801225,"BMW",1229
801226,"BMW",1600
801227,"BMW",1501
801228,"BMW",1087
801229,"BMW",1530
801230,"BMW",1550
801231,"BMW",1480
801232,"BMW",1565
801233,"BMW",1135
801234,"BMW",1565
801235,"BMW",1675
801236,"BMW",1790
801237,"BMW",1345
801238,"BMW",1685
801239,"BMW",1300
801240,"BMW",1385
801241,"BMW",1725
801242,"BMW",1465
801243,"BMW",1825
801244,"BMW",1510
801245,"BMW",1385
801246,"BMW",1340
801247,"BMW",1275
801248,"BMW",1885
801249,"BMW",2055
801250,"BMW",1390
801251,"BMW",1655
801252,"BMW",1535
801253,"BMW",1535
801254,"BMW",1700
801255,"BMW",1435
801256,"BMW",1475
801257,"BMW",1935
801258,"BMW",1505
801259,"BMW",1425
801260,"BMW",1615
801261,"BMW",1385
801262,"BMW",1220
801263,"BMW",1505
801264,"BMW",1795
801265,"BMW",1520
801266,"BMW",1520
801267,"BMW",1520
801268,"BMW",1475
801269,"BMW",1475
801270,"BMW",1475
801271,"BMW",1360
801272,"BMW",1535
801273,"BMW",1505
801274,"BMW",1320
801275,"BMW",1623
801276,"BMW",1555
801277,"BMW",1455
801278,"BMW",1725
801279,"BMW",1180
801280,"BMW",1490
801281,"BMW",1725
801282,"BMW",2015
801283,"BMW",1435
801284,"BMW",2020
801285,"BMW",1415
801286,"BMW",1365
801287,"BMW",1730
801288,"BMW",1730
801289,"BMW",1905
801290,"BMW",1395
801291,"BMW",1495
801292,"BMW",1555
801293,"BMW",1695
801294,"BMW",1790
801295,"BMW",1795
801296,"BMW",1625
801297,"BMW",1940
801298,"BMW",1340
801299,"BMW",1915
801300,"BMW",1760
801301,"BMW",1570
801302,"BMW",1580
801303,"BMW",1365
801304,"BMW",1775
801305,"BMW",2135
801306,"BMW",1465
801307,"BMW",1680
801308,"BMW",1020
801309,"BMW",1700
801310,"BMW",1895
801311,"BMW",1685
801312,"BMW",1495
801313,"BMW",1560
801314,"BMW",1365
801315,"BMW",1485
801316,"BMW",1485
801317,"BMW",1555
801318,"BMW",1385
801319,"BMW",1370
801320,"BMW",1520
801321,"BMW",2255
801322,"BMW",1530
801323,"BMW",1415
801324,"BMW",1615
801325,"BMW",1420
801326,"BMW",1390
801327,"BMW",1365
801328,"BMW",1500
801329,"BMW",1500
801330,"BMW",1945
801331,"BMW",1595
801332,"BMW",1200
801333,"BMW",1675
801334,"BMW",1695
801335,"BMW",1482
801336,"BMW",1530
801337,"BMW",1490
801338,"BMW",1735
801339,"BMW",1600
801340,"BMW",1360
801341,"BMW",1285
801342,"BMW",1590
801343,"BMW",1460
801344,"BMW",1395
801345,"BMW",1480
801346,"BMW",1505
801347,"BMW",1485
801348,"BMW",1515
801349,"BMW",1360
801350,"BMW",1925
801351,"BMW",1500
801352,"BMW",1505
801353,"BMW",1555
801354,"BMW",1905
801355,"BMW",1540
801356,"BMW",1340
801357,"BMW",1545
801358,"BMW",1520
801359,"BMW",1600
801360,"BMW",1675
801361,"BMW",1505
801362,"BMW",1775
801363,"BMW",1440
801364,"BMW",1545
801365,"BMW",1635
801366,"BMW",1825
801367,"BMW",1480
801368,"BMW",1580
801369,"BMW",1385
801370,"BMW",1390
801371,"BMW",1537
801372,"BMW",1750
801373,"BMW",1530
801374,"BMW",1950
801375,"BMW",1195
801376,"BMW",1535
801377,"BMW",1560
801378,"BMW",1537
801379,"BMW",1580
801380,"BMW",1586
801381,"BMW",1865
801382,"BMW",1370
801383,"BMW",1825
801384,"BMW",1605
801385,"BMW",1435
801386,"BMW",1320
801387,"BMW",1390
801388,"BMW",1675
801389,"BMW",1570
801390,"BMW",1615
801391,"BMW",1505
801392,"BMW",1495
801393,"BMW",1650
801394,"BMW",2005
801395,"BMW",1615
801396,"BMW",1560
801397,"BMW",1705
801398,"BMW",1455
801399,"BMW",1845
801400,"BMW",1550
801401,"BMW",1595
801402,"BMW",1385
801403,"BMW",1375
801404,"BMW",1570
801405,"BMW",1500
801406,"BMW",1615
801407,"BMW",1670
806001,"BMW",1297
806002,"BMW",1650
806003,"BMW",1510
806004,"BMW",1420
806005,"BMW",1390
806006,"BMW",1720
806008,"BMW",1690
806009,"BMW",1470
806012,"BMW",1815
806014,"BMW",1540
806015,"BMW",1290
806016,"BMW",1705
806017,"BMW",1618
806018,"BMW",1815
806019,"BMW",1450
806020,"BMW",1650
806021,"BMW",1685
806022,"BMW",1685
806023,"BMW",1660
806024,"BMW",1675
806025,"BMW",1505
806026,"BMW",1505
806027,"BMW",1570
806028,"BMW",1560
806029,"BMW",1485
806030,"BMW",1625
808001,"BMW",2195
808002,"BMW",2185
808003,"BMW",2070
808004,"BMW",1840
808005,"BMW",1780
808006,"BMW",2275
808007,"BMW",2095
808008,"BMW",1835
808009,"BMW",1815
808010,"BMW",1830
808011,"BMW",1840
808012,"BMW",2245
808013,"BMW",2245
808014,"BMW",2125
808015,"BMW",2145
808016,"BMW",2265
808017,"BMW",1825
808018,"BMW",1840
808019,"BMW",2150
808020,"BMW",2265
808021,"BMW",2145
808022,"BMW",1815
808023,"BMW",2380
808024,"BMW",1800
808025,"BMW",1820
808026,"BMW",2380
808027,"BMW",1880
808028,"BMW",1780
808029,"BMW",2145
808030,"BMW",1665
808031,"BMW",1875
808032,"BMW",2150
808033,"BMW",1800
808034,"BMW",2150
808035,"BMW",2150
