"Codigo","Estado"
101001,"Activo"
206001,"Activo"
208003,"Activo"
208004,"Activo"
317003,"Activo"
317004,"Activo"
317006,"Activo"
317007,"Activo"
317008,"Activo"
317009,"Activo"
317010,"Activo"
317015,"Activo"
317016,"Activo"
317017,"Activo"
317019,"Activo"
317022,"Activo"
317025,"Activo"
317028,"Activo"
317029,"Activo"
317030,"Activo"
317035,"Activo"
317037,"Activo"
317038,"Activo"
317039,"Activo"
317041,"Activo"
317042,"Activo"
317043,"Activo"
317044,"Activo"
317045,"Activo"
317046,"Activo"
317047,"Activo"
317048,"Activo"
317049,"Activo"
317050,"Activo"
317051,"Activo"
317052,"Activo"
317053,"Activo"
317054,"Activo"
317055,"Activo"
317056,"Activo"
317057,"Activo"
317058,"Activo"
317059,"Activo"
317060,"Activo"
317061,"Activo"
317062,"Activo"
317063,"Activo"
317064,"Activo"
317065,"Activo"
317066,"Activo"
317067,"Activo"
317068,"Activo"
317069,"Activo"
317070,"Activo"
319001,"Activo"
319002,"Activo"
319003,"Activo"
319004,"Activo"
319005,"Activo"
319006,"Activo"
319007,"Activo"
319008,"Activo"
319009,"Activo"
319010,"Activo"
319011,"Activo"
319012,"Activo"
319013,"Activo"
319014,"Activo"
319015,"Activo"
319016,"Activo"
319017,"Activo"
319018,"Activo"
319019,"Activo"
319020,"Activo"
408008,"Activo"
408014,"Activo"
408015,"Activo"
408016,"Activo"
408017,"Activo"
421001,"Activo"
503001,"Activo"
503002,"Activo"
503003,"Activo"
503004,"Activo"
506002,"Activo"
506003,"Activo"
507001,"Activo"
508001,"Activo"
508002,"Activo"
508003,"Activo"
520001,"Activo"
601005,"Activo"
601006,"Activo"
601007,"Activo"
601008,"Activo"
601009,"Activo"
601010,"Activo"
601011,"Activo"
601012,"Activo"
601013,"Activo"
601014,"Activo"
601015,"Activo"
601016,"Activo"
601017,"Activo"
601018,"Activo"
601019,"Activo"
601020,"Activo"
601021,"Activo"
601022,"Activo"
601023,"Activo"
601024,"Activo"
601025,"Activo"
601026,"Activo"
601027,"Activo"
601028,"Activo"
601029,"Activo"
601030,"Activo"
601031,"Activo"
601032,"Activo"
601033,"Activo"
601035,"Activo"
601036,"Activo"
601037,"Activo"
601041,"Activo"
601046,"Activo"
601047,"Activo"
601048,"Activo"
601049,"Activo"
601050,"Activo"
601051,"Activo"
601052,"Activo"
601053,"Activo"
601054,"Activo"
601055,"Activo"
601056,"Activo"
601057,"Activo"
601058,"Activo"
601059,"Activo"
601060,"Activo"
601061,"Activo"
601062,"Activo"
601063,"Activo"
601064,"Activo"
601065,"Activo"
601066,"Activo"
601068,"Activo"
601069,"Activo"
601070,"Activo"
601072,"Activo"
601073,"Activo"
601074,"Activo"
601075,"Activo"
601076,"Activo"
601077,"Activo"
601078,"Activo"
601080,"Activo"
601081,"Activo"
601084,"Activo"
601087,"Activo"
601088,"Activo"
601091,"Activo"
601092,"Activo"
601093,"Activo"
601094,"Activo"
601095,"Activo"
601096,"Activo"
601097,"Activo"
601098,"Activo"
601099,"Activo"
601100,"Activo"
601101,"Activo"
601102,"Activo"
601103,"Activo"
601104,"Activo"
601105,"Activo"
601106,"Activo"
601107,"Activo"
601108,"Activo"
601109,"Activo"
601110,"Activo"
601111,"Activo"
601112,"Activo"
601113,"Activo"
601114,"Activo"
601115,"Activo"
601116,"Activo"
601117,"Activo"
601118,"Activo"
601119,"Activo"
601120,"Activo"
601121,"Activo"
601122,"Activo"
601123,"Activo"
601124,"Activo"
601125,"Activo"
601126,"Activo"
601127,"Activo"
601128,"Activo"
601129,"Activo"
601130,"Activo"
601131,"Activo"
601132,"Activo"
601133,"Activo"
601134,"Activo"
601135,"Activo"
601136,"Activo"
601137,"Activo"
601138,"Activo"
601139,"Activo"
601140,"Activo"
601141,"Activo"
601142,"Activo"
601143,"Activo"
601144,"Activo"
601145,"Activo"
601146,"Activo"
601147,"Activo"
601148,"Activo"
601149,"Activo"
601150,"Activo"
601151,"Activo"
601152,"Activo"
601153,"Activo"
601154,"Activo"
601155,"Activo"
601156,"Activo"
601157,"Activo"
601158,"Activo"
601159,"Activo"
601160,"Activo"
601161,"Activo"
601162,"Activo"
601163,"Activo"
601164,"Activo"
601165,"Activo"
601166,"Activo"
601167,"Activo"
601168,"Activo"
601169,"Activo"
601170,"Activo"
601171,"Activo"
601172,"Activo"
601173,"Activo"
601174,"Activo"
601175,"Activo"
601176,"Activo"
601177,"Activo"
601178,"Activo"
601179,"Activo"
601180,"Activo"
601181,"Activo"
601182,"Activo"
601183,"Activo"
601184,"Activo"
601185,"Activo"
601186,"Activo"
601187,"Activo"
601188,"Activo"
601189,"Activo"
601190,"Activo"
601191,"Activo"
601192,"Activo"
601193,"Activo"
601194,"Activo"
601195,"Activo"
601196,"Activo"
601197,"Activo"
601198,"Activo"
601199,"Activo"
601200,"Activo"
606001,"Activo"
606002,"Activo"
606003,"Activo"
606004,"Activo"
606005,"Activo"
606006,"Activo"
606008,"Activo"
606009,"Activo"
606010,"Activo"
606011,"Activo"
606012,"Activo"
606013,"Activo"
606014,"Activo"
606015,"Activo"
606016,"Activo"
606017,"Activo"
606018,"Activo"
606019,"Activo"
606020,"Activo"
606021,"Activo"
