"Importado","AireAcondicionado","Codigo","Cilindraje","Potencia"
1,0,101001,1570,82
1,0,206001,2351,0
1,1,208003,2400,120
1,1,208004,2400,120
0,0,317003,80,6
0,0,317004,100,5
0,0,317006,150,7
0,0,317007,80,6
0,0,317008,125,13
0,0,317009,80,6
0,0,317010,150,7
1,0,317015,99,8
0,0,317016,145,9
0,0,317017,145,8
0,0,317019,60,5
0,0,317022,145,8
1,0,317025,178,17
0,0,317028,96,7
1,0,317029,90,7
1,0,317030,112,10
1,0,317035,150,8
1,0,317037,124,12
1,0,317038,178,17
1,0,317039,99,8
1,0,317041,134,13
1,0,317042,134,13
1,0,317043,198,18
1,0,317044,124,9
1,0,317045,179,17
0,0,317046,99,8
1,0,317047,125,9
0,0,317048,94,8
1,0,317049,125,9
1,0,317050,220,21
1,0,317051,134,13
1,0,317052,220,21
0,0,317053,124,11
0,0,317054,145,12
0,0,317055,94,8
0,0,317056,125,13
0,0,317057,199,23
1,0,317058,220,19
0,0,317059,102,9
1,0,317060,220,21
0,0,317061,149,14
0,0,317062,179,17
0,0,317063,149,14
0,0,317064,102,8
0,0,317065,149,17
0,0,317066,200,23
0,0,317067,200,24
0,0,317068,149,17
0,0,317069,135,13
0,0,317070,149,15
1,0,319001,146,7
1,0,319002,175,12
1,0,319003,174,8
1,0,319004,417,7
1,0,319005,174,6
1,0,319006,174,6
1,0,319007,174,8
1,0,319008,174,8
1,0,319009,174,8
1,0,319010,174,8
1,0,319011,174,8
1,0,319012,174,8
1,0,319013,174,8
1,0,319014,447,7
1,0,319015,199,10
1,0,319016,199,10
1,0,319017,199,10
1,0,319018,416,8
1,0,319019,199,10
1,0,319020,199,10
1,0,408008,2500,68
1,0,408014,2500,75
1,0,408015,2500,75
1,0,408016,2660,80
1,0,408017,1600,0
1,0,421001,2700,95
1,0,503001,4052,100
1,0,503002,5000,175
1,0,503003,5500,170
1,1,503004,2700,76
1,1,506002,800,52
1,1,506003,2700,110
1,1,507001,800,55
1,0,508001,1800,86
1,0,508002,1800,86
1,0,508003,2200,76
1,0,520001,1500,82
1,1,601005,2771,174
1,1,601006,2771,174
1,1,601007,2771,174
1,1,601008,2771,174
1,1,601009,2771,174
1,1,601010,1781,125
1,1,601011,1781,125
1,1,601012,4172,335
1,1,601013,4172,335
1,1,601014,2771,174
1,1,601015,2771,174
1,1,601016,2771,174
1,1,601017,2771,193
1,1,601018,1984,90
1,1,601019,1780,150
1,1,601020,1781,125
1,1,601021,1781,125
1,1,601022,1780,150
1,1,601023,2771,193
1,1,601024,1781,163
1,1,601025,1781,221
1,1,601026,1781,150
1,1,601027,1781,150
1,1,601028,1595,102
1,1,601029,1781,177
1,1,601030,1781,150
1,1,601031,1595,102
1,1,601032,1595,102
1,1,601033,1984,130
1,1,601035,2976,220
1,1,601036,1984,130
1,1,601037,2393,170
1,1,601041,1781,150
1,1,601046,1781,112
1,1,601047,1781,150
1,1,601048,1984,130
1,1,601049,2976,220
1,1,601050,2976,220
1,1,601051,4163,350
1,1,601052,4163,340
