"Estado","Nacionalidad","Combustible","Puertas","Transmision","Codigo"
"Activo","RUS","GSL",5,"4X2",101001
"Activo","","",5,"",206001
"Activo","USA","",3,"4X4",208003
"Activo","USA","",3,"4X4",208004
"Activo","COL","GSL",0,"2X1",317003
"Activo","COL","GSL",0,"2X1",317004
"Activo","COL","GSL",0,"2X1",317006
"Activo","COL","GSL",0,"2X1",317007
"Activo","COL","GSL",0,"2X1",317008
"Activo","COL","GSL",0,"2X1",317009
"Activo","COL","GSL",0,"2X1",317010
"Activo","IND","GSL",0,"2X1",317015
"Activo","COL","GSL",0,"2X1",317016
"Activo","COL","GSL",0,"2X1",317017
"Activo","COL","GSL",0,"2X1",317019
"Activo","COL","GSL",0,"2X1",317022
"Activo","IND","GSL",0,"2X1",317025
"Activo","COL","GSL",0,"2X1",317028
"Activo","IND","GSL",0,"2X1",317029
"Activo","JAP","GSL",0,"2X1",317030
"Activo","TWN","GSL",0,"2X1",317035
"Activo","IND","GSL",0,"2X1",317037
"Activo","IND","GSL",0,"2X1",317038
"Activo","IND","GSL",0,"2X1",317039
"Activo","IND","GSL",0,"2X1",317041
"Activo","IND","GSL",0,"2X1",317042
"Activo","IND","GSL",0,"2X1",317043
"Activo","IND","GSL",0,"2X1",317044
"Activo","IND","GSL",0,"2X1",317045
"Activo","COL","GSL",0,"2X1",317046
"Activo","IND","GSL",0,"2X1",317047
"Activo","COL","GSL",0,"2X1",317048
"Activo","IND","GSL",0,"2X1",317049
"Activo","IND","GSL",0,"2X1",317050
"Activo","IND","GSL",0,"2X1",317051
"Activo","IND","GSL",0,"2X1",317052
"Activo","COL","GSL",0,"2X1",317053
"Activo","COL","GSL",0,"2X1",317054
"Activo","COL","GSL",0,"2X1",317055
"Activo","COL","GSL",0,"2X1",317056
"Activo","COL","GSL",0,"2X1",317057
"Activo","MEX","GSL",0,"2X1",317058
"Activo","COL","GSL",0,"2X1",317059
"Activo","IND","GSL",0,"2X1",317060
"Activo","COL","GSL",0,"2X1",317061
"Activo","COL","GSL",0,"2X1",317062
"Activo","COL","GSL",0,"2X1",317063
"Activo","COL","GSL",0,"2X1",317064
"Activo","COL","GSL",0,"2X1",317065
"Activo","COL","GSL",0,"2X1",317066
"Activo","COL","GSL",0,"2X1",317067
"Activo","COL","GSL",0,"2X1",317068
"Activo","COL","GSL",0,"2X1",317069
"Activo","COL","GSL",0,"2X1",317070
"Activo","IND","GSL",2,"3X1",319001
"Activo","IND","GSL",0,"3X1",319002
"Activo","IND","GSL",0,"3X1",319003
"Activo","IND","GSL",0,"3X1",319004
"Activo","IND","GSL",0,"3X1",319005
"Activo","IND","GSL",0,"3X1",319006
"Activo","IND","GSL",0,"3X1",319007
"Activo","IND","GSL",0,"3X1",319008
"Activo","IND","GSL",0,"3X1",319009
"Activo","IND","GSL",0,"3X1",319010
"Activo","IND","GSL",0,"3X1",319011
"Activo","IND","GSL",0,"3X1",319012
"Activo","IND","GSL",2,"3X1",319013
"Activo","IND","GSL",2,"3X1",319014
"Activo","IND","GSL",0,"3X1",319015
"Activo","IND","GSL",4,"3X1",319016
"Activo","IND","GSL",0,"3X1",319017
"Activo","IND","DSL",2,"3X1",319018
"Activo","IND","GSL",2,"3X1",319019
"Activo","IND","GSL",4,"3X1",319020
"Activo","RUM","",3,"4X4",408008
"Activo","RUM","GSL",3,"4X4",408014
"Activo","RUM","",3,"4X4",408015
"Activo","RUM","GSL",3,"4X4",408016
"Activo","RUM","",3,"4X4",408017
"Activo","RUM","",4,"",421001
"Activo","KOR","DSL",3,"4X2",503001
"Activo","KOR","",2,"",503002
"Activo","KOR","",2,"",503003
"Activo","KOR","DSL",2,"4X2",503004
"Activo","KOR","GSL",3,"4X2",506002
"Activo","KOR","DSL",3,"4X2",506003
"Activo","KOR","GSL",3,"4X2",507001
"Activo","KOR","GSL",3,"4X4",508001
"Activo","KOR","GSL",3,"4X4",508002
"Activo","KOR","DSL",3,"4X4",508003
"Activo","KOR","GSL",2,"4X2",520001
"Activo","ALE","GSL",4,"4X2",601005
"Activo","ALE","GSL",4,"4X2",601006
"Activo","ALE","GSL",4,"4X2",601007
"Activo","ALE","GSL",4,"4X2",601008
"Activo","ALE","GSL",4,"4X2",601009
"Activo","ALE","GSL",4,"4X2",601010
"Activo","ALE","GSL",4,"4X2",601011
"Activo","ALE","GSL",5,"4X4",601012
"Activo","ALE","GSL",5,"4X4",601013
"Activo","ALE","GSL",2,"4X2",601014
"Activo","ALE","GSL",2,"4X2",601015
"Activo","ALE","GSL",4,"4X2",601016
"Activo","ALE","GSL",4,"4X2",601017
"Activo","ALE","GSL",4,"4X2",601018
"Activo","ALE","GSL",4,"4X2",601019
"Activo","ALE","GSL",3,"4X2",601020
"Activo","ALE","GSL",3,"4X2",601021
"Activo","ALE","GSL",4,"4X2",601022
"Activo","ALE","GSL",4,"4X2",601023
"Activo","ALE","GSL",4,"4X2",601024
"Activo","ALE","GSL",3,"4X4",601025
"Activo","ALE","GSL",4,"4X2",601026
"Activo","BRA","GSL",3,"4X2",601027
"Activo","BRA","GSL",3,"4X2",601028
"Activo","HNG","GSL",3,"4X2",601029
"Activo","BRA","GSL",5,"4X2",601030
"Activo","BRA","GSL",5,"4X2",601031
"Activo","BRA","GSL",5,"4X2",601032
"Activo","ALE","GSL",4,"4X2",601033
"Activo","ALE","GSL",4,"4X2",601035
"Activo","ALE","GSL",4,"4X2",601036
"Activo","ALE","GSL",4,"4X2",601037
"Activo","BRA","GSL",5,"4X2",601041
"Activo","ALE","GSL",4,"4X4",601046
"Activo","BRA","GSL",3,"4X2",601047
"Activo","ALE","GSL",4,"4X2",601048
"Activo","ALE","GSL",4,"4X2",601049
"Activo","ALE","GSL",4,"4X2",601050
"Activo","ALE","GSL",4,"4X4",601051
"Activo","ALE","GSL",4,"4X4",601052
"Activo","ALE","GSL",2,"4X2",601053
"Activo","ALE","GSL",2,"4X2",601054
"Activo","HNG","GSL",3,"4X2",601055
"Activo","ALE","GSL",4,"4X4",601056
"Activo","ALE","GSL",4,"4X4",601057
"Activo","BRA","GSL",5,"4X2",601058
"Activo","ALE","GSL",4,"4X2",601059
"Activo","ALE","GSL",4,"4X4",601060
"Activo","ALE","GSL",5,"4X2",601061
"Activo","ALE","GSL",5,"4X2",601062
"Activo","ALE","GSL",5,"4X2",601063
"Activo","ALE","GSL",4,"4X2",601064
"Activo","ALE","GSL",4,"4X2",601065
"Activo","ALE","GSL",4,"4X2",601066
"Activo","ALE","GSL",5,"4X2",601068
"Activo","ALE","GSL",4,"4X2",601069
"Activo","ALE","GSL",4,"4X2",601070
"Activo","ALE","GSL",4,"4X2",601072
"Activo","ALE","GSL",4,"4X4",601073
"Activo","ALE","GSL",4,"4X2",601074
"Activo","ALE","GSL",4,"4X4",601075
"Activo","ALE","GSL",4,"4X4",601076
"Activo","HNG","GSL",3,"4X4",601077
"Activo","HNG","GSL",2,"4X4",601078
"Activo","ALE","GSL",5,"4X2",601080
"Activo","ALE","GSL",3,"4X4",601081
"Activo","ALE","GSL",5,"4X4",601084
"Activo","HNG","GSL",3,"4X4",601087
"Activo","ALE","GSL",3,"4X2",601088
"Activo","ALE","GSL",4,"4X2",601091
"Activo","ALE","GSL",4,"4X2",601092
"Activo","ALE","GSL",4,"4X2",601093
"Activo","ALE","GSL",4,"4X2",601094
"Activo","HNG","GSL",3,"4X2",601095
"Activo","HNG","GSL",3,"4X2",601096
"Activo","ALE","GSL",5,"4X2",601097
"Activo","ALE","GSL",4,"4X2",601098
"Activo","ALE","GSL",3,"4X2",601099
"Activo","ALE","GSL",5,"4X2",601100
"Activo","ALE","GSL",2,"4X2",601101
"Activo","ALE","GSL",4,"4X2",601102
"Activo","ALE","GSL",4,"4X2",601103
"Activo","ALE","GSL",4,"4X4",601104
"Activo","ALE","GSL",2,"4X4",601105
"Activo","HNG","GSL",2,"4X2",601106
"Activo","ALE","GSL",3,"4X2",601107
"Activo","ALE","GSL",4,"4X2",601108
"Activo","ALE","GSL",4,"4X2",601109
"Activo","ALE","GSL",3,"4X2",601110
"Activo","ALE","GSL",3,"4X2",601111
"Activo","ALE","GSL",5,"4X2",601112
"Activo","ALE","GSL",5,"4X2",601113
"Activo","ALE","GSL",4,"4X2",601114
"Activo","ALE","GSL",4,"4X4",601115
"Activo","ALE","GSL",4,"4X4",601116
"Activo","ALE","GSL",4,"4X2",601117
"Activo","ALE","GSL",3,"4X2",601118
"Activo","HNG","GSL",3,"4X4",601119
"Activo","ALE","GSL",4,"4X2",601120
"Activo","ALE","GSL",5,"4X4",601121
"Activo","ALE","GSL",2,"4X4",601122
"Activo","ALE","GSL",4,"4X2",601123
"Activo","ALE","GSL",2,"4X2",601124
"Activo","ALE","GSL",2,"4X2",601125
"Activo","ALE","GSL",4,"4X2",601126
"Activo","ALE","GSL",4,"4X2",601127
"Activo","ALE","GSL",3,"4X4",601128
"Activo","ALE","GSL",4,"4X2",601129
"Activo","ALE","GSL",4,"4X4",601130
"Activo","ALE","GSL",2,"4X2",601131
"Activo","ALE","GSL",3,"4X2",601132
"Activo","HNG","GSL",2,"4X4",601133
"Activo","ALE","GSL",5,"4X2",601134
"Activo","ALE","GSL",5,"4X4",601135
"Activo","ALE","GSL",5,"4X4",601136
"Activo","ALE","GSL",3,"4X2",601137
