Municipio;Total;Abierto;Oculto;Urbano;Rural;Hombre;Mujer;Subregion
Medellín;8.34;6.98;1.37;8.34;8.40;8.19;8.54;Vallé de Aburrá
Barbosa;12.99;8.73;4.25;14.41;11.69;8.64;20.82;Vallé de Aburrá
Bello;8.82;7.17;1.64;8.79;10.42;8.29;9.56;Vallé de Aburrá
Caldas;9.15;6.46;2.69;8.77;10.53;8.05;10.70;Vallé de Aburrá
Copacabana;9.42;8.14;1.28;9.58;8.26;8.66;10.56;Vallé de Aburrá
Envigado;5.27;4.30;0.97;5.23;6.26;4.98;5.62;Vallé de Aburrá
Girardota;10.88;9.21;1.66;10.94;10.78;10.18;11.95;Vallé de Aburrá
Itagüí;6.40;5.15;1.25;6.14;9.43;5.62;7.47;Vallé de Aburrá
La Estrella;5.96;4.46;1.50;6.39;5.38;5.52;6.60;Vallé de Aburrá
Sabaneta;5.70;4.02;1.68;6.37;3.20;5.52;5.93;Vallé de Aburrá
Cáceres;;;;;;;;Bajo Cauca
Caucasia;9.97;7.04;2.93;10.68;5.90;7.51;13.21;Bajo Cauca
El Bagre;6.04;4.90;1.14;7.80;3.89;4.75;9.65;Bajo Cauca
Nechí;7.97;4.41;3.56;7.07;9.03;5.55;13.15;Bajo Cauca
Tarazá;;;;;;;;Bajo Cauca
Zaragoza;8.30;4.44;3.85;12.13;5.14;4.45;19.22;Bajo Cauca
Caracolí;10.44;10.44;0.00;14.94;0.65;10.88;8.76;Magdalena Medio
Maceo;9.51;8.33;1.18;12.25;7.59;6.43;19.56;Magdalena Medio
Puerto Berrío;17.88;13.47;4.40;18.59;10.79;14.11;23.96;Magdalena Medio
Puerto Nare;22.77;21.92;0.84;29.42;17.51;22.65;23.22;Magdalena Medio
Puerto Triunfo;12.29;12.29;0.00;17.86;10.16;13.60;8.10;Magdalena Medio
Yondó;;;;;;;;Magdalena Medio
Amalfi;6.88;4.32;2.55;11.88;0.00;5.33;11.46;Nordeste
Anorí;2.05;1.31;0.75;3.76;0.71;0.68;6.15;Nordeste
Cisneros;13.64;11.66;1.98;14.90;6.48;14.63;11.47;Nordeste
Remedios;9.04;7.37;1.68;8.86;9.15;7.60;12.68;Nordeste
San Roque;5.69;5.50;0.19;6.09;5.41;5.45;6.56;Nordeste
Santo Domingo;6.92;6.84;0.08;6.20;7.08;3.63;14.68;Nordeste
Segovia;11.28;7.63;3.65;12.31;6.60;7.21;20.57;Nordeste
Vegachí;8.36;5.15;3.22;8.97;7.39;5.73;15.69;Nordeste
Yalí;6.00;3.08;2.92;7.32;5.13;3.30;14.32;Nordeste
